"Tarih,""Şimdi"",""Açılış"",""Yüksek"",""Düşük"",""Hac."",""Fark %"""
"25.07.2023,""9.537,19"",""9.538,69"",""9.539,68"",""9.537,19"","""",""-0,07%"""
"21.11.2022,""8.188,40"",""8.102,90"",""8.198,50"",""8.100,50"",""155,12M"",""0,75%"""
"18.11.2022,""8.127,80"",""8.107,00"",""8.127,80"",""8.048,50"",""178,69M"",""1,08%"""
"17.11.2022,""8.040,70"",""8.105,10"",""8.123,20"",""7.986,10"",""139,50M"",""-0,75%"""
"16.11.2022,""8.101,40"",""8.175,10"",""8.188,70"",""8.075,00"",""163,76M"",""-1,06%"""
"15.11.2022,""8.188,40"",""8.161,00"",""8.192,10"",""8.117,30"",""182,29M"",""0,27%"""
"14.11.2022,""8.166,50"",""8.123,20"",""8.210,80"",""8.110,40"",""142,67M"",""0,84%"""
"11.11.2022,""8.098,10"",""8.178,70"",""8.178,70"",""8.073,80"",""218,00M"",""-0,43%"""
"10.11.2022,""8.133,20"",""8.004,00"",""8.176,00"",""7.975,10"",""256,12M"",""1,15%"""
"09.11.2022,""8.040,40"",""7.983,40"",""8.061,60"",""7.968,10"",""161,11M"",""0,52%"""
"08.11.2022,""7.998,90"",""7.942,30"",""8.005,80"",""7.922,00"",""120,20M"",""0,46%"""
"07.11.2022,""7.962,30"",""7.910,50"",""7.990,00"",""7.893,20"",""138,36M"",""0,25%"""
"04.11.2022,""7.942,70"",""7.908,50"",""8.006,00"",""7.830,60"",""197,13M"",""0,94%"""
"03.11.2022,""7.868,90"",""7.897,50"",""7.897,50"",""7.798,40"",""140,56M"",""-1,25%"""
"02.11.2022,""7.968,60"",""8.017,80"",""8.018,20"",""7.960,60"",""144,93M"",""-0,38%"""
"01.11.2022,""7.999,00"",""8.011,80"",""8.073,90"",""7.971,80"",""146,53M"",""0,53%"""
"31.10.2022,""7.956,50"",""7.913,60"",""7.958,10"",""7.871,70"",""164,83M"",""0,51%"""
"28.10.2022,""7.916,50"",""7.859,60"",""7.916,50"",""7.832,60"",""185,93M"",""-0,06%"""
"27.10.2022,""7.921,10"",""7.846,90"",""7.944,30"",""7.798,90"",""202,34M"",""0,64%"""
